district,period,food_insecurity_pct
Gweru,2020-10,35.0
Zvishavane,2020-10,30.0
Chirumhanzu,2020-10,35.0
Gokwenorth,2020-10,25.0
Shurugwi,2020-10,20.0
Gokwesouth,2020-10,25.0
Mberengwa,2020-10,40.0
Kwekwe,2020-10,20.0
Uzumbamarambapfungwe,2020-10,25.0
Mutoko,2020-10,20.0
Murehwa,2020-10,15.0
Chikomba,2020-10,15.0
Hwedza,2020-10,15.0
Goromonzi,2020-10,15.0
Marondera,2020-10,15.0
Mudzi,2020-10,40.0
Seke,2020-10,15.0
Mutare,2020-10,25.0
Chipinge,2020-10,35.0
Makoni,2020-10,25.0
Buhera,2020-10,45.0
Mutasa,2020-10,15.0
Chimanimani,2020-10,30.0
Nyanga,2020-10,30.0
Chiredzi,2020-10,30.0
Bikita,2020-10,30.0
Chivi,2020-10,35.0
Gutu,2020-10,35.0
Masvingo,2020-10,35.0
Mwenezi,2020-10,40.0
Zaka,2020-10,30.0
Zvimba,2020-10,20.0
Hurungwe,2020-10,20.0
Chegutu,2020-10,20.0
Mhondoro-ngezi,2020-10,20.0
Kariba,2020-10,30.0
Makonde,2020-10,15.0
Sanyati,2020-10,30.0
Bindura,2020-10,25.0
Guruve,2020-10,10.0
Mazowe,2020-10,25.0
Mbire,2020-10,30.0
Mount Darwin,2020-10,35.0
Muzarabani,2020-10,15.0
Rushinga,2020-10,20.0
Shamva,2020-10,20.0
Hwange,2020-10,40.0
Binga,2020-10,40.0
Lupane,2020-10,35.0
Bubi,2020-10,30.0
Nkayi,2020-10,35.0
Tsholotsho,2020-10,35.0
Umguza,2020-10,40.0
Gwanda,2020-10,25.0
Insiza,2020-10,20.0
Bulilima,2020-10,20.0
Beitbridge,2020-10,35.0
Matobo,2020-10,25.0
Umzingwane,2020-10,25.0
Mangwe,2020-10,20.0
Tsholotsho,2020-02,45.0
Binga,2020-02,50.0
Hwange,2020-02,45.0
Umguza,2020-02,35.0
Bubi,2020-02,35.0
Lupane,2020-02,45.0
Nkayi,2020-02,45.0
Zaka,2020-02,55.0
Bikita,2020-02,45.0
Masvingo,2020-02,50.0
Gutu,2020-02,45.0
Chiredzi,2020-02,55.0
Chivi,2020-02,50.0
Mwenezi,2020-02,55.0
Buhera,2020-02,60.0
Makoni,2020-02,50.0
Mutare,2020-02,55.0
Chimanimani,2020-02,40.0
Chipinge,2020-02,30.0
Nyanga,2020-02,45.0
Mutasa,2020-02,50.0
Chikomba,2020-02,45.0
Uzumbamarambapfungwe,2020-02,40.0
Mutoko,2020-02,50.0
Mudzi,2020-02,50.0
Marondera,2020-02,35.0
Hwedza,2020-02,15.0
Seke,2020-02,40.0
Goromonzi,2020-02,50.0
Murehwa,2020-02,40.0
Kariba,2020-02,50.0
Sanyati,2020-02,25.0
Mhondoro-ngezi,2020-02,40.0
Chegutu,2020-02,40.0
Hurungwe,2020-02,45.0
Makonde,2020-02,30.0
Zvimba,2020-02,35.0
Chirumhanzu,2020-02,35.0
Mberengwa,2020-02,50.0
Gokwesouth,2020-02,40.0
Zvishavane,2020-02,40.0
Gokwenorth,2020-02,55.0
Kwekwe,2020-02,40.0
Gweru,2020-02,20.0
Shurugwi,2020-02,25.0
