district,period,r1h,r3h,rfq,r3q,food_insecurity_pct
Gweru,2020-10,42.75,48.05,171.93,223.95,35.0
Zvishavane,2020-10,38.8,47.31,159.15,205.5,30.0
Chirumhanzu,2020-10,47.11,52.13,198.88,227.06,35.0
Gokwe North,2020-10,7.28,7.62,88.62,93.22,25.0
Shurugwi,2020-10,41.6,49.9,167.38,209.12,20.0
Gokwe South,2020-10,12.37,13.58,93.74,118.34,25.0
Mberengwa,2020-10,39.16,49.62,168.64,204.02,40.0
Kwekwe,2020-10,28.88,31.93,146.59,182.64,20.0
Mutoko,2020-10,11.18,14.5,89.38,101.68,20.0
Murehwa,2020-10,22.98,27.96,101.2,115.74,15.0
Chikomba,2020-10,50.78,59.39,176.85,210.85,15.0
Hwedza,2020-10,52.77,65.44,178.25,214.25,15.0
Goromonzi,2020-10,20.41,27.5,92.26,108.44,15.0
Marondera,2020-10,38.43,48.42,125.99,156.26,15.0
Mudzi,2020-10,4.83,7.33,86.28,88.02,40.0
Seke,2020-10,28.61,34.78,112.77,138.61,15.0
Mutare,2020-10,40.02,49.34,169.48,185.22,25.0
Chipinge,2020-10,30.97,53.45,135.14,136.15,35.0
Makoni,2020-10,31.94,39.76,125.03,157.74,25.0
Buhera,2020-10,36.19,39.17,179.67,210.91,45.0
Mutasa,2020-10,54.18,88.97,130.96,159.99,15.0
Chimanimani,2020-10,54.86,87.12,181.01,164.02,30.0
Nyanga,2020-10,26.89,39.23,105.62,119.33,30.0
Chiredzi,2020-10,25.61,40.59,132.89,151.14,30.0
Bikita,2020-10,37.15,50.44,171.84,172.83,30.0
Chivi,2020-10,31.12,39.44,152.42,194.55,35.0
Gutu,2020-10,45.73,51.8,195.97,201.6,35.0
Masvingo,2020-10,36.98,48.26,165.04,184.85,35.0
Mwenezi,2020-10,31.79,44.48,148.34,179.75,40.0
Zaka,2020-10,40.36,57.01,161.17,172.31,30.0
Zvimba,2020-10,14.58,17.92,83.34,98.92,20.0
Hurungwe,2020-10,4.56,5.29,80.37,84.38,20.0
Chegutu,2020-10,22.45,27.14,103.32,134.08,20.0
Mhondoro-Ngezi,2020-10,30.0,33.62,141.86,172.97,20.0
Kariba,2020-10,5.61,5.95,89.84,94.93,30.0
Makonde,2020-10,9.47,10.77,80.77,88.87,15.0
Sanyati,2020-10,13.11,14.09,94.64,107.36,30.0
Bindura,2020-10,9.64,14.25,83.86,95.32,25.0
Guruve,2020-10,5.45,6.45,75.56,80.07,10.0
Mazowe,2020-10,10.75,15.1,82.97,97.19,25.0
Mbire,2020-10,1.71,1.83,85.66,86.48,30.0
Mount Darwin,2020-10,3.05,5.41,80.81,83.6,35.0
Rushinga,2020-10,3.75,6.21,83.48,85.5,20.0
Shamva,2020-10,6.64,10.0,82.81,89.43,20.0
Hwange,2020-10,9.74,10.54,86.35,108.37,40.0
Binga,2020-10,7.69,8.07,86.85,96.86,40.0
Lupane,2020-10,12.49,13.29,93.02,110.88,35.0
Bubi,2020-10,30.4,34.16,141.88,183.72,30.0
Nkayi,2020-10,18.5,21.28,106.26,140.11,35.0
Tsholotsho,2020-10,16.78,18.41,110.6,149.74,35.0
Umguza,2020-10,31.61,35.18,145.9,195.65,40.0
Gwanda,2020-10,36.07,42.82,165.12,214.46,25.0
Insiza,2020-10,42.82,49.9,176.67,226.13,20.0
Bulilima,2020-10,28.04,30.0,152.21,191.43,20.0
Beitbridge,2020-10,25.49,31.4,135.04,191.23,35.0
Matobo,2020-10,39.96,44.4,171.44,222.49,25.0
Umzingwane,2020-10,38.16,43.97,168.49,217.1,25.0
Mangwe,2020-10,44.11,46.84,195.88,254.1,20.0
Tsholotsho,2020-02,129.86,325.11,116.14,87.0,45.0
Binga,2020-02,229.98,468.27,143.58,103.54,50.0
Hwange,2020-02,170.65,372.3,127.78,91.39,45.0
Umguza,2020-02,127.09,297.39,117.09,80.46,35.0
Bubi,2020-02,120.76,315.04,111.89,78.19,35.0
Lupane,2020-02,144.31,353.66,118.77,84.37,45.0
Nkayi,2020-02,113.38,337.5,98.63,77.02,45.0
Zaka,2020-02,219.41,423.41,147.05,95.13,55.0
Bikita,2020-02,200.07,404.24,147.87,103.84,45.0
Masvingo,2020-02,190.36,381.37,146.64,95.0,50.0
Gutu,2020-02,196.58,413.69,144.89,94.88,45.0
Chiredzi,2020-02,140.93,298.55,133.86,98.77,55.0
